"Notes"	"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"1999"	"1999"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	13	137555	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	42	662845	6.3	6.3	0.0%
	"1999"	"1999"	"Alabama"	"01"	"Madison County, AL"	"01089"	12	274692	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"Alabama"	"01"	"Mobile County, AL"	"01097"	29	399323	7.3	7.5	0.0%
	"1999"	"1999"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	12	223548	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	25	259348	9.6	10.1	0.0%
	"1999"	"1999"	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	10	83390	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	10	116530	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"Arizona"	"04"	"Coconino County, AZ"	"04005"	11	115307	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	329	3004985	10.9	11.2	0.1%
	"1999"	"1999"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	12	96100	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"Arizona"	"04"	"Pima County, AZ"	"04019"	139	828905	16.8	17.3	0.0%
	"1999"	"1999"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	11	173364	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	10	162943	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"Arizona"	"04"	"Yuma County, AZ"	"04027"	10	155665	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	19	360312	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"California"	"06"	"Alameda County, CA"	"06001"	125	1427114	8.8	8.5	0.0%
	"1999"	"1999"	"California"	"06"	"Butte County, CA"	"06007"	15	201282	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"California"	"06"	"Contra Costa County, CA"	"06013"	73	936983	7.8	7.6	0.0%
	"1999"	"1999"	"California"	"06"	"El Dorado County, CA"	"06017"	17	154381	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"California"	"06"	"Fresno County, CA"	"06019"	60	789405	7.6	8.4	0.0%
	"1999"	"1999"	"California"	"06"	"Humboldt County, CA"	"06023"	28	126676	22.1	21.8	0.0%
	"1999"	"1999"	"California"	"06"	"Imperial County, CA"	"06025"	19	141056	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"California"	"06"	"Kern County, CA"	"06029"	84	655428	12.8	13.9	0.0%
	"1999"	"1999"	"California"	"06"	"Kings County, CA"	"06031"	14	126402	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"California"	"06"	"Lake County, CA"	"06033"	10	57214	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"California"	"06"	"Los Angeles County, CA"	"06037"	806	9437290	8.5	8.9	0.1%
	"1999"	"1999"	"California"	"06"	"Madera County, CA"	"06039"	11	121883	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"California"	"06"	"Marin County, CA"	"06041"	30	246269	12.2	10.5	0.0%
	"1999"	"1999"	"California"	"06"	"Mendocino County, CA"	"06045"	15	85665	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"California"	"06"	"Merced County, CA"	"06047"	17	206734	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"California"	"06"	"Monterey County, CA"	"06053"	34	396267	8.6	9.3	0.0%
	"1999"	"1999"	"California"	"06"	"Nevada County, CA"	"06057"	10	90899	Unreliable	Unreliable	0.0%
	"1999"	"1999"	"California"	"06"	"Orange County, CA"	"06059"	224	2815933	8.0	7.9	0.0%
